Gene symbol, Chromosome band location, Type, Group
FRA1A, 1p36, Common; aphidicolin, 4
FRA17B, 17q23.1, Common; aphidicolin, 4
FRA18A, 18q12.2, Common; aphidicolin, 4
FRA18B, 18q21.3, Common; aphidicolin, 4
FRA19B, 19p13, Rare; folic acid, 1
FRA19A, 19q13, Common; 5-azacytidine, 5
FRA20B, 20p12.2, Common; aphidicolin, 4
FRA20A, 20p11.23, Rare; folic acid, 1
FRA22B, 22q12.2, Common; aphidicolin, 4
FRA22A, 22q13.1, Rare; folic acid, 1
FRAXB, Xp22.31, Common; aphidicolin, 4
FRAXC, Xq22.1, Common; aphidicolin, 4
FRAXD, Xq27.2, Common; aphidicolin, 4
FRAXA, Xq27.3, Rare; folic acid, 1
FRAXE, Xq28, Rare; folic acid, 1
FRAXF, Xq28, Rare; folic acid, 1
